FID IID Height
3546 345 -0.7008583080438
2682 346 -0.552281897753454
2042 347 NA
2042 348 -0.789517897932868
2683 349 0.195365386692474
706 350 0.446249731349121
2684 351 1.96777032467372
1577 352 -0.573796628516527
1546 353 NA
1546 354 0.835618078261283
1309 355 0.422281201799763
586 356 0.763391064096588
3184 357 NA
3184 358 -0.202133980083677
707 359 NA
587 360 1.29689201382151
2971 361 0.374344142701047
1771 362 -1.47662347366231
2532 363 -1.18254033323888
1449 364 0.757840615490778
2419 365 0.617085633520757
2685 366 -0.017897580465465
3185 367 0.544823470691957
588 368 0.47021826089848
669 369 -0.664905513719763
1772 370 NA
1772 371 -0.542091337767163
1450 372 -1.09923939152483
384 373 1.36879760246959
4053 374 -1.20650886278823
2686 375 0.991536593968206
3921 376 -0.781776633260745
3921 377 NA
2352 378 -2.64472851439878
872 379 -0.688874043269121
192 380 2.79552374906272
2533 381 NA
2533 382 NA
2533 383 -0.332486962475193
2880 384 0.399097887862018
3186 385 -0.221794591020135
3449 386 NA
3449 387 NA
3304 388 0.787681019162566
2687 389 NA
2687 390 0.149882126380042
1249 391 -0.404392551123267
87 392 -0.31046519852592
2688 393 -0.625019945823293
670 394 -0.362327366146977
385 395 -0.641058996764852
620 396 0.0448971196622852
3949 397 NA
3187 398 0.634017950361403
1146 399 -1.002163058239
88 400 0.799343858420625
1773 401 -2.19138764394146
3609 402 -0.168785424963723
3610 403 NA
3610 404 2.60480016918033
3450 405 -0.386955989694232
3188 406 1.60237050731092
1547 407 -0.63848318538412
89 408 0.109164099061808
3611 409 -0.389352091022464
3611 410 NA
4032 411 0.0329128548876061
4032 412 NA
2043 413 -0.0873493703272544
1596 414 -0.697886779837992
4046 415 1.60676494593239
3861 416 1.52778784631139
2044 417 2.17003054657149
2689 418 0.446249731349121
2534 419 -0.676889778494442
1733 420 0.122915098962613
2420 421 -1.45265494411295
4020 422 0.492518207273166
3950 423 -1.02824530062645
1774 424 0.314422818827651
2045 425 0.724984470986266
3612 426 0.987919240142725
1775 427 NA
1775 428 0.0951795388358149
708 429 0.236225778589081
386 430 0.540455266371882
1250 431 NA
1250 432 0.444231770574883
387 433 0.482202525673159
2535 434 NA
2535 435 0.24862962083183
2536 436 -1.44067067933827
2690 660 0.823633813486603
3189 661 1.52183160785936
3613 662 0.578076643870591
2353 663 -0.403705487463108
3506 664 -1.52456053276103
2537 665 1.94380179512436
3551 666 0.0899608025066469
873 667 -0.140051662420168
709 668 0.212257249039723
388 669 1.67405282239383
2046 670 0.0564618069688948
2421 671 -0.440345345447305
3614 672 0.0149241733842688
389 673 -0.188675785179044
3615 674 -1.8127987687243
3615 675 NA
2538 676 0.533462392371888
2538 677 NA
2047 678 -1.86599182057447
1548 679 NA
1548 680 NA
3451 681 -1.07468195026676
2691 682 -1.40778756517149
874 683 NA
874 684 0.159365797973926
3922 685 -0.649949720739275
2539 686 -0.851746152542058
3010 687 -1.33111674352922
875 688 -0.243144812398083
1706 689 -0.871538360805929
876 690 NA
876 3030 -1.05717420654854
3403 691 -0.320502697700514
3616 692 0.463784444729611
3951 693 -1.45265494411295
2692 694 -1.50646387733409
3190 695 -0.14727069420065
3191 696 -0.0298818452401441
2972 697 0.533462392371888
2972 698 NA
2693 699 -0.733839574162029
3952 700 -0.292006765025784
3192 701 0.648313649343994
1707 702 NA
3923 703 -0.332486962475193
2694 704 0.79689005963434
2048 705 NA
3617 706 2.08614069314874
3617 707 NA
3507 708 -0.0873493703272544
1147 709 -0.818247157004306
877 710 -0.640936984170405
2695 711 -0.993245895630295
878 712 -0.728873014700874
710 713 -1.08725512675015
158 714 NA
158 715 -0.835585566481892
3618 716 NA
3618 717 NA
3618 718 -0.99079209684401
3452 719 0.868795648282415
2696 720 -0.781776633260745
4047 721 1.14109657175069
1776 722 0.880779913057094
2049 723 0.811649548711924
2049 724 NA
879 725 1.11712804220133
1597 726 -1.16333703668371
1668 728 -0.034647078234341
84 727 0.308550944705225
84 3187 NA
3119 729 -0.298428396476781
3619 730 -0.452329610221984
3619 731 NA
3193 732 -2.19543884361323
220 733 -1.58755153679168
671 734 0.530139584771875
2540 735 NA
1777 736 -1.10341571281032
1669 737 -0.77031009790559
2541 738 -0.288628072710514
1148 739 -0.673918250288633
1148 740 NA
880 741 1.84890919644144
3194 742 0.110930834187934
881 743 NA
881 744 1.55175637586075
2697 745 -0.0825841373330574
3404 746 NA
3404 747 NA
3404 748 NA
3535 749 -1.02197965817385
1778 750 -0.533078601198293
2542 751 1.28490774904684
3620 752 -0.53784383419249
3862 753 0.516452582869711
1149 754 0.701301897330752
3621 755 1.53977211108607
1191 756 -0.123302164651292
2050 757 NA
2050 758 -0.461173012550218
621 759 0.60759562202576
1549 760 -1.31191344697406
3622 761 0.464346386776054
1779 762 NA
1779 763 NA
1779 764 NA
1779 765 -0.465938245544415
1780 766 -0.296534168151155
2253 767 NA
390 768 0.51228344587477
3405 769 1.55861773773584
762 770 -0.883522625580608
3332 771 NA
882 772 0.0390252455398592
882 773 NA
2915 774 NA
2915 775 NA
883 776 -0.207192018074045
883 777 NA
2543 778 0.255286710565869
3333 779 0.392440798127979
391 780 0.122915098962613
2544 781 1.42238326212556
3863 782 -1.6977213539717
3863 783 NA
884 784 -1.00277636161869
2456 785 -1.02429109238176
3105 786 NA
281 787 -0.835585566481892
803 788 0.756172032316106
2545 789 -0.873775512276835
2545 790 NA
2051 791 -0.30821937012459
2315 792 NA
2315 793 -1.06328659720079
1485 794 -0.424411587566304
2546 795 NA
2546 796 -1.45852681823538
622 797 1.13433173626818
622 798 NA
2547 799 -0.491692952992065
392 800 -1.24892244294341
3334 801 -2.1626538813979
3334 802 NA
1192 803 -0.392408286348588
3195 804 2.21562025471549
2461 805 -0.781776633260745
3196 806 NA
3196 807 -0.958033126620802
2698 808 -0.0211862327631456
2698 809 NA
3335 810 -1.14889897312275
1598 811 -0.200660049953723
3197 812 -0.20348542754182
3197 813 NA
2699 814 1.17704936607472
2699 815 NA
2700 816 -1.72218064327832
2548 817 -0.938089804751097
315 818 1.77226721718656
2973 819 NA
2973 820 -0.320502697700514
3198 821 NA
3198 822 1.25702196277832
3120 823 -1.25921115488115
3508 824 0.0349470762058217
393 825 -0.652921248945084
90 826 0.298458536670388
2974 827 0.231190893685296
394 828 0.799343858420625
3453 829 -1.13519218584887
3089 830 -0.861738710227697
885 831 0.219333916241832
3406 832 -0.97939674377804
3199 833 -1.21127409578243
2254 834 NA
3623 835 -0.113463372577892
2052 836 -0.985877560735798
2916 837 0.810984563231135
2916 838 NA
763 839 -1.33541697507749
2975 840 1.30254061437877
3624 841 0.0372585104137336
1095 843 -0.715742918735101
3121 844 1.21300216039876
1781 845 0.907202241392737
1782 846 2.30920161248716
1782 847 NA
221 848 -0.769792368486066
3924 849 -0.380424021573909
1783 850 -0.103435208817933
1783 851 NA
395 852 1.56641771298688
1784 853 -0.343784163589712
